network,statistic,variant,method,observed,median,q2.5,q97.5,p_value
flow_matching_tt_300,"Secondary
attack rate",alpha,Bias-aware NPE,0.5282555282555282,0.5565195865333527,0.4803250095137996,0.6223322988780138,0.5800000000000001
flow_matching_tt_300,"Secondary
attack rate",alpha,MCMC (random recruitment),0.5282555282555282,0.4926825802784882,0.41878891155002146,0.5703841463414634,0.46
flow_matching_tt_300,"Secondary
attack rate",omicron,Bias-aware NPE,0.7055555555555556,0.8054093567251461,0.7179655068822373,0.865229667578739,0.0
flow_matching_tt_300,"Secondary
attack rate",omicron,MCMC (random recruitment),0.7055555555555556,0.787761601455869,0.6607185628742515,0.8699036608863198,0.1200000000000001
flow_matching_tt_300,"Mean infected
per household",alpha,Bias-aware NPE,2.6796875,2.77734375,2.5037109375,3.0320312499999997,0.54
flow_matching_tt_300,"Mean infected
per household",alpha,MCMC (random recruitment),2.6796875,2.578125,2.327734375,2.8515625,0.46
flow_matching_tt_300,"Mean infected
per household",omicron,Bias-aware NPE,3.3518518518518516,3.685185185185185,3.313888888888889,4.018518518518518,0.08000000000000007
flow_matching_tt_300,"Mean infected
per household",omicron,MCMC (random recruitment),3.3518518518518516,3.6296296296296298,3.1842592592592593,3.9814814814814814,0.21999999999999997
flow_matching_tt_300,"Households with
≥1 secondary case",alpha,Bias-aware NPE,0.78125,0.7890625,0.6990234375,0.8712890624999999,0.8600000000000001
flow_matching_tt_300,"Households with
≥1 secondary case",alpha,MCMC (random recruitment),0.78125,0.71875,0.624609375,0.796875,0.24
flow_matching_tt_300,"Households with
≥1 secondary case",omicron,Bias-aware NPE,0.9074074074074074,0.9444444444444444,0.8421296296296297,0.9814814814814815,0.32000000000000006
flow_matching_tt_300,"Households with
≥1 secondary case",omicron,MCMC (random recruitment),0.9074074074074074,0.9629629629629629,0.8791666666666667,1.0,0.08000000000000007
flow_matching_tt_300,"Secondary attack rate
infant index",alpha,Bias-aware NPE,0.2413793103448276,0.2,0.08834146341463416,0.36641483516483514,0.72
flow_matching_tt_300,"Secondary attack rate
infant index",alpha,MCMC (random recruitment),0.2413793103448276,0.35714285714285715,0.14537037037037037,0.6196022727272726,0.3400000000000001
flow_matching_tt_300,"Secondary attack rate
infant index",omicron,Bias-aware NPE,0.6764705882352942,0.7142857142857143,0.5465497412305923,0.877625,0.5800000000000001
flow_matching_tt_300,"Secondary attack rate
infant index",omicron,MCMC (random recruitment),0.6764705882352942,0.7716791979949875,0.5398492907801419,0.9257931034482758,0.32000000000000006
flow_matching_tt_300,"Secondary attack rate
child index",alpha,Bias-aware NPE,0.5092592592592593,0.5532141806413651,0.3935096153846154,0.7212019230769228,0.6000000000000001
flow_matching_tt_300,"Secondary attack rate
child index",alpha,MCMC (random recruitment),0.5092592592592593,0.5167155156622092,0.33135294117647063,0.6540093913671663,0.9199999999999999
flow_matching_tt_300,"Secondary attack rate
child index",omicron,Bias-aware NPE,0.7192982456140351,0.8346994535519126,0.6633647798742138,0.9440624999999999,0.19999999999999996
flow_matching_tt_300,"Secondary attack rate
child index",omicron,MCMC (random recruitment),0.7192982456140351,0.8060035842293907,0.6028711484593838,0.918969298245614,0.3400000000000001
flow_matching_tt_300,"Secondary attack rate
adult index",alpha,Bias-aware NPE,0.6058091286307054,0.6392642642642643,0.5678433295200741,0.7183601265354448,0.3999999999999999
flow_matching_tt_300,"Secondary attack rate
adult index",alpha,MCMC (random recruitment),0.6058091286307054,0.5166060705094162,0.41420216606498195,0.6057794744318182,0.06
flow_matching_tt_300,"Secondary attack rate
adult index",omicron,Bias-aware NPE,0.7272727272727273,0.8396446937821411,0.7550176056338028,0.9166408668730649,0.020000000000000018
flow_matching_tt_300,"Secondary attack rate
adult index",omicron,MCMC (random recruitment),0.7272727272727273,0.7874509803921568,0.6580681818181818,0.901199906803355,0.26
