network,statistic,variant,method,observed,median,q2.5,q97.5,p_value
flow_matching_tt_300,"Secondary
attack rate",alpha,Bias-aware NPE,0.5282555282555282,0.5565195865333527,0.4803250095137996,0.6223322988780138,0.5800000000000001
flow_matching_tt_300,"Secondary
attack rate",alpha,MCMC,0.5282555282555282,0.4926825802784882,0.41878891155002146,0.5703841463414634,0.46
flow_matching_tt_300,"Secondary
attack rate",omicron,Bias-aware NPE,0.7055555555555556,0.8054093567251461,0.7179655068822373,0.865229667578739,0.0
flow_matching_tt_300,"Secondary
attack rate",omicron,MCMC,0.7055555555555556,0.787761601455869,0.6607185628742515,0.8699036608863198,0.1200000000000001
flow_matching_tt_300,"Mean infected
per household",alpha,Bias-aware NPE,2.6796875,2.77734375,2.5037109375,3.0320312499999997,0.54
flow_matching_tt_300,"Mean infected
per household",alpha,MCMC,2.6796875,2.578125,2.327734375,2.8515625,0.46
flow_matching_tt_300,"Mean infected
per household",omicron,Bias-aware NPE,3.3518518518518516,3.685185185185185,3.313888888888889,4.018518518518518,0.08000000000000007
flow_matching_tt_300,"Mean infected
per household",omicron,MCMC,3.3518518518518516,3.6296296296296298,3.1842592592592593,3.9814814814814814,0.21999999999999997
flow_matching_tt_300,"Households with
≥1 secondary case",alpha,Bias-aware NPE,0.78125,0.7890625,0.6990234375,0.8712890624999999,0.8600000000000001
flow_matching_tt_300,"Households with
≥1 secondary case",alpha,MCMC,0.78125,0.71875,0.624609375,0.796875,0.24
flow_matching_tt_300,"Households with
≥1 secondary case",omicron,Bias-aware NPE,0.9074074074074074,0.9444444444444444,0.8421296296296297,0.9814814814814815,0.32000000000000006
flow_matching_tt_300,"Households with
≥1 secondary case",omicron,MCMC,0.9074074074074074,0.9629629629629629,0.8791666666666667,1.0,0.08000000000000007
flow_matching_tt_300,"Attack rate
infants",alpha,Bias-aware NPE,0.46511627906976744,0.2240418118466899,0.11356589147286822,0.3376016260162601,0.0
flow_matching_tt_300,"Attack rate
infants",alpha,MCMC,0.46511627906976744,0.4505530253741054,0.25516304347826085,0.6476540418315431,0.86
flow_matching_tt_300,"Attack rate
infants",omicron,Bias-aware NPE,0.7368421052631579,0.6330971659919028,0.4579166666666667,0.7657499999999997,0.16
flow_matching_tt_300,"Attack rate
infants",omicron,MCMC,0.7368421052631579,0.8286867204695525,0.6663852913968548,0.9442177754677754,0.3999999999999999
flow_matching_tt_300,"Attack rate
children",alpha,Bias-aware NPE,0.6333333333333333,0.5769323671497584,0.48318922924901186,0.685327743902439,0.44
flow_matching_tt_300,"Attack rate
children",alpha,MCMC,0.6333333333333333,0.5590727816550349,0.4396875,0.6769526107942079,0.26
flow_matching_tt_300,"Attack rate
children",omicron,Bias-aware NPE,0.8484848484848485,0.8333333333333334,0.6857730263157895,0.9697150735294118,0.84
flow_matching_tt_300,"Attack rate
children",omicron,MCMC,0.8484848484848485,0.886038961038961,0.7532094594594595,0.9767119565217391,0.6399999999999999
flow_matching_tt_300,"Attack rate
adults",alpha,Bias-aware NPE,0.5036496350364964,0.5966206702337369,0.5181048069345942,0.6811676883913033,0.0
flow_matching_tt_300,"Attack rate
adults",alpha,MCMC,0.5036496350364964,0.47718598195697437,0.38928284935023266,0.5607145425518143,0.68
flow_matching_tt_300,"Attack rate
adults",omicron,Bias-aware NPE,0.6513761467889908,0.875,0.7609112903225806,0.9436904761904762,0.0
flow_matching_tt_300,"Attack rate
adults",omicron,MCMC,0.6513761467889908,0.7407865168539326,0.5846087002317253,0.8404532967032966,0.21999999999999997
